Original File Size,Compressed File Size,Image Format,Compression Time,Compression Ratio
20575315,3373632,png,13.57085967,6.098861702
20575315,166826,jpeg,11.67400575,123.3339827
20575315,86910,webp,11.43070745,236.7427799
20575315,1465990,gif,12.06087899,14.03509915
20575315,10287702,bmp,11.33299756,1.999991349
36096019,9399393,png,19.67534208,3.840250003
36096019,706955,jpeg,17.69410849,51.05843936
36096019,497128,webp,18.40389252,72.6091047
36096019,5222219,gif,18.14580679,6.912007903
36096019,18048054,bmp,17.52018833,1.999995069
36096019,11329138,png,19.75100374,3.18612228
36096019,1178849,jpeg,18.51158977,30.61971381
36096019,1115066,webp,18.381006,32.37119507
36096019,5870439,gif,18.88171864,6.148776778
36096019,18048054,bmp,17.12593484,1.999995069
36096019,10129623,png,20.17243218,3.563411886
36096019,1064846,jpeg,17.96594763,33.89787725
36096019,884652,webp,18.75999403,40.80250652
36096019,5254584,gif,18.70503259,6.869434193
36096019,18048054,bmp,17.77399397,1.999995069
37748755,1715574,png,18.25518894,22.0035714
37748755,440955,jpeg,17.62914395,85.60681929
37748755,272154,webp,18.10214329,138.7036568
37748755,811393,gif,18.14857292,46.52339249
37748755,18874422,bmp,17.29242134,1.999995285
37748755,7209842,png,25.61510396,5.235725693
37748755,358462,jpeg,20.61793089,105.30755
37748755,179906,webp,20.58721042,209.8248808
37748755,2594641,gif,21.2051475,14.54873911
37748755,18874422,bmp,22.0427258,1.999995285
44255251,5976277,png,24.1903708,7.405153911
44255251,401670,jpeg,21.65190101,110.1781338
44255251,226716,webp,23.34020591,195.2012694
44255251,2339676,gif,24.41819572,18.91511944
44255251,22127670,bmp,25.20800614,1.999995978
44255251,7890122,png,26.78199577,5.608943816
44255251,459732,jpeg,23.84370065,96.26315114
44255251,275074,webp,23.81800675,160.8848928
44255251,3670057,gif,23.60091281,12.05846421
44255251,22127670,bmp,23.58147907,1.999995978
44255251,12582848,png,26.17899966,3.517109243
44255251,937433,jpeg,23.1185317,47.20897493
44255251,844470,webp,25.20900106,52.40594811
44255251,6967136,gif,24.68706393,6.352000449
44255251,22127670,bmp,22.63399386,1.999995978
64065397,21751873,png,33.47746611,2.945281861
64065397,1326284,jpeg,28.66598868,48.30443329
64065397,1469936,webp,30.04227686,43.58380025
64065397,12341450,gif,31.79581094,5.19107536
64065397,32040666,bmp,31.60518122,1.999502663
66784225,19812066,png,32.14327788,3.370886459
66784225,1679480,jpeg,29.8257525,39.76482304
66784225,1504442,webp,32.69632602,44.39135906
66784225,9202231,gif,35.06434774,7.257394973
66784225,33396206,bmp,33.03545499,1.999754852
72726547,10782474,png,43.72133183,6.744884987
72726547,597268,jpeg,36.02806139,121.7653499
72726547,212910,webp,36.88602114,341.5835189
72726547,4699702,gif,36.58305502,15.47471457
72726547,36363318,bmp,34.85000014,1.999997552
166202419,48325194,png,89.654778,3.439249908
166202419,3557084,jpeg,74.38027358,46.72434472
166202419,2893076,webp,75.34620333,57.44834183
166202419,24591251,gif,73.63549924,6.758599593
166202419,83101254,bmp,70.24567699,1.999998929
234317971,62212201,png,127.6208754,3.766431138
234317971,5180722,jpeg,109.0642049,45.22882544
234317971,4373294,webp,123.3782101,53.57928623
234317971,29895015,gif,115.0577857,7.838028213
234317971,117159030,bmp,116.6947751,1.99999924
